country,description,points,price_point,province,title,variety,winery,year,name,region,rating,price_rating
Germany,"Fresh and fragrant of blossoms, tart yellow peach and apricot, this off-dry Riesling maintains a crystalline fruit purity that persists throughout Fritz Haag's wines. It's invigorating and irresistably quaffable. The long, melon-rind finish is lip smacking.",91,30.0,Mosel,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Fritz Haag,2014,Riesling Trocken ,Mosel,3.8,10.67
Germany,"Dusty, saffron-spiced earthiness is juxtaposed against intense mango and tangerine fruitiness in this deeply complex wine. It's unctuously sweet, but balanced by a piercing streak of acidity that penetrates through the midpalate. Spry and silken, it finishes on a long lingering whisper of honey and peach.",97,775.0,Rheingau,Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil,2014,Kiedrich GrÃ¤fenberg Riesling Trocken GG ,Rheingau,4.0,40.4
Italy,"Made from organic grapes, this bright red opens with violet, red-skinned berry and white pepper scents. The juicy palate doles out ripe raspberry, red cherry and star anise notes, with fresh acidity and velvety tannins. Enjoy through 2020.",89,19.0,Piedmont,Vite Colte 2016 Rossofuoco  (Barbera d'Asti),Barbera,Vite Colte,2016,Ansisa Barbera d'Alba ,Barbera d'Alba,3.8,6.9
Italy,"Made from organic grapes, this bright red opens with violet, red-skinned berry and white pepper scents. The juicy palate doles out ripe raspberry, red cherry and star anise notes, with fresh acidity and velvety tannins. Enjoy through 2020.",89,19.0,Piedmont,Vite Colte 2016 Rossofuoco  (Barbera d'Asti),Barbera,Vite Colte,2016,La Luna e i FalÃ² Barbera d'Asti Superiore ,Barbera d'Asti,4.0,12.95
Italy,"Made from organic grapes, this bright red opens with violet, red-skinned berry and white pepper scents. The juicy palate doles out ripe raspberry, red cherry and star anise notes, with fresh acidity and velvety tannins. Enjoy through 2020.",89,19.0,Piedmont,Vite Colte 2016 Rossofuoco  (Barbera d'Asti),Barbera,Vite Colte,2016,Croere Barbera d'Alba Superiore ,Barbera d'Alba,3.9,10.79
Italy,"This opens with black-skinned berry, clove and cooking spice aromas. The straightforward palate shows ripe black cherry, black plum and white pepper notes alongside smooth tannins. Drink soon.",87,16.0,Piedmont,Pico Maccario 2016 Lavignone  (Barbera d'Asti),Barbera,Pico Maccario,2016,Barbera d'Asti Lavignone ,Barbera d'Asti,3.8,6.95
Italy,"This opens with black-skinned berry, clove and cooking spice aromas. The straightforward palate shows ripe black cherry, black plum and white pepper notes alongside smooth tannins. Drink soon.",87,16.0,Piedmont,Pico Maccario 2016 Lavignone  (Barbera d'Asti),Barbera,Pico Maccario,2016,Barbera d'Asti Superiore Tre Roveri ,Barbera d'Asti,3.8,16.5
Germany,"Perfumed on the nose with heady yellow florals and stonefruit, this is one stunner of a Riesling. It's powerfully concentrated on the palate with flavors of honey and sweet peach tinged with lanolin and wax. Penetrating and pure in focus, yet remarkably delicate in texture, it finishes long with layers of crushed-stone minerality.",94,58.0,Mosel,Markus Molitor 2010 Zeltinger Sonnenuhr Auslese Riesling (Mosel),Riesling,Markus Molitor,2010,Niedermenniger Herrenberg Riesling Auslese ,Mosel,4.0,39.95
France,"As the wine ages, it shows a soft, toasty and nutty side that adds complexity to the tight fruitiness that remains. It's a wine in transition, still fresh while adding some concentration, broadening the steely texture and giving hints of the serious wine it will be. Drink from 2018.",93,40.0,Alsace,Trimbach 2011 Réserve Riesling (Alsace),Riesling,Trimbach,2011,Riesling Alsace CuvÃ©e FrÃ©dÃ©ric Emile ,Alsace,3.9,44.61
Germany,"Exuberant and fresh, this vivacious dry Riesling is anchored in cutting citrus tones of lime, lemon and tangerine. Medium bodied on the palate, it's racy, crystalline style is endlessly quaffable.",90,18.0,Rheinhessen,Wittmann 2015 100 Hills Dry Riesling (Rheinhessen),Riesling,Wittmann,2015,Aulerde Riesling GG ,Rheinhessen,4.2,36.95
Chile,"Berry and plum aromas smell a bit burnt, sort of like a burning field. A healthy lively medium-bodied palate delivers smoky oaky roasted berry and plum flavors in front of a lightly spiced finish.",87,13.0,Maipo Valley,Santa Rita 2015 Reserva Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Santa Rita,2015,Reserva Cabernet Sauvignon ,Maipo Valley,3.3,9.7
Chile,"Berry and plum aromas smell a bit burnt, sort of like a burning field. A healthy lively medium-bodied palate delivers smoky oaky roasted berry and plum flavors in front of a lightly spiced finish.",87,13.0,Maipo Valley,Santa Rita 2015 Reserva Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Santa Rita,2015, Cabernet Sauvignon ,Central Valley,3.2,6.77
Chile,"Cool mint, blueberry and raisin aromas are lush and smooth, but charred oak is roaring loud on the nose of this dry-farmed Syrah. Punchy, short acidity makes the mouthfeel abrupt. Dark chocolate and ripe berry flavors end with hard-spiced blackberry and an everlasting burnt-oak character.",89,40.0,Marchigue,Polkura 2014 Secano Dry Farmed Syrah (Marchigue),Syrah,Polkura,2014,Lote D Syrah ,Colchagua Valley,4.1,19.3
Italy,"This textbook Barbera opens with classic varietal aromas of dark berry, blue flower and ground spice. The vibrant, full-flavored palate offers juicy black cherry, crushed raspberry and licorice notes alongside fresh acidity and smooth tannins. It's made for sheer drinking pleasure, so enjoy soon.",89,15.0,Piedmont,Coppo 2016 L'Avvocata  (Barbera d'Asti),Barbera,Coppo,2016,Pomorosso Barbera d'Asti ,Barbera d'Asti,4.3,59.63
Italy,"This textbook Barbera opens with classic varietal aromas of dark berry, blue flower and ground spice. The vibrant, full-flavored palate offers juicy black cherry, crushed raspberry and licorice notes alongside fresh acidity and smooth tannins. It's made for sheer drinking pleasure, so enjoy soon.",89,15.0,Piedmont,Coppo 2016 L'Avvocata  (Barbera d'Asti),Barbera,Coppo,2016,Barbera d'Asti Camp du Rouss ,Barbera d'Asti,4.0,18.97
Italy,"This leads with forest floor, blue flower and black-skinned berry aromas while the structured, savory palate offers black cherry, red plum and Asian spice hints. Supple tannins and vibrant acidity provide easygoing support and freshness. Enjoy through 2021.",89,30.0,Piedmont,Vite Colte 2015 La Luna e i Falò  (Barbera d'Asti Superiore),Barbera,Vite Colte,2015,La Luna e i FalÃ² Barbera d'Asti Superiore ,Barbera d'Asti,3.8,11.49
South Africa,"Aged in French oak for 10 months (10% new, 90% second fill), this is a toasty yet balanced selection. Decadent aromas and flavors of buttered brioche, honeydew, baked apple, lemon curd and vanilla cream pie abound. It's rich and mouthfilling in texture, with a lingering sweet-spice flavor. Drink now–2019.",88,25.0,Robertson,De Wetshof 2015 Lesca Chardonnay (Robertson),Chardonnay,De Wetshof,2015,The Site Chardonnay ,Robertson,4.1,24.24
South Africa,"Aged in French oak for 10 months (10% new, 90% second fill), this is a toasty yet balanced selection. Decadent aromas and flavors of buttered brioche, honeydew, baked apple, lemon curd and vanilla cream pie abound. It's rich and mouthfilling in texture, with a lingering sweet-spice flavor. Drink now–2019.",88,25.0,Robertson,De Wetshof 2015 Lesca Chardonnay (Robertson),Chardonnay,De Wetshof,2015,Danie de Wet Chardonnay ,Robertson,3.9,28.6
Argentina,"Exotic blueberry and cassis aromas are accented by cardamom and wild-herb scents. This Malbec from Altamira in the Uco Valley is jammy and saturated, but pure, with ripe berry, oak and spice flavors. A juicy fruit-filled finish is packed and tastes like berry compote. Lastly, a delicate herbal note gives this complexity. Drink through 2024.",93,150.0,Mendoza Province,Achaval-Ferrer 2014 Finca Altamira Malbec (Mendoza),Malbec,Achaval-Ferrer,2014,Malbec ,Mendoza,3.9,17.5
New Zealand,"On the oaky side, but silky and long, this is a fine effort. Vanilla, cedar and baking spices, hints of cola and mocha all point to ripe fruit and ample new French oak. Drink now–2025.",90,35.0,Martinborough,Palliser Estate 2015 Pinot Noir (Martinborough),Pinot Noir,Palliser Estate,2015,Pinot Noir ,Martinborough,3.7,29.9
Argentina,"Smooth, savory aromas of prune and blackberry are foresty and lightly herbal. This round-bodied Cab Franc from Tupungato is solid and balanced, with controlled tannins. Oaky flavors of plum, herbal tea and smoke finish savory. Drink through 2023; contains 15% Malbec.",91,120.0,Mendoza Province,El Enemigo 2014 Gran Enemigo Gualtallary Single Vineyard Cabernet Franc (Mendoza),Cabernet Franc,El Enemigo,2014,Gran Enemigo Single Vineyard Gualtallary Cabernet Franc ,Gualtallary,4.6,82.86
Argentina,"Smooth, savory aromas of prune and blackberry are foresty and lightly herbal. This round-bodied Cab Franc from Tupungato is solid and balanced, with controlled tannins. Oaky flavors of plum, herbal tea and smoke finish savory. Drink through 2023; contains 15% Malbec.",91,120.0,Mendoza Province,El Enemigo 2014 Gran Enemigo Gualtallary Single Vineyard Cabernet Franc (Mendoza),Cabernet Franc,El Enemigo,2014,Gran Enemigo Single Vineyard El Cepillo Cabernet Franc ,San Carlos,4.5,77.01
France,"Lime and lemon zest are joined by aromatic citrus foliage on the nose. The palate replays these sprightly refreshing notes and lets them ripple across the slender palate. This is light, dry and will put a spring in your step with its citrus liveliness.",90,18.0,Alsace,Wolfberger 2016 Riesling (Alsace),Riesling,Wolfberger,2016,Riesling Alsace Grand Cru Steingrubler ,Alsace Grand Cru,3.9,19.49
Germany,"Whiffs of sun-burnt slate lend contrast to bright nectarine and citrus peel flavors in this clingy, textured Kabinett. Bristling acidity balances delicate swathes of honey- and nectar-like sweetness that linger on the finish. It's delightfully refreshing, with complexity to linger over.",91,28.0,Mosel,Dr. Loosen 2015 Wehlener Sonnenuhr Kabinett Riesling (Mosel),Riesling,Dr. Loosen,2015,Wehlener Sonnenuhr Alte Reben Riesling ,Mosel,4.0,11.65
Germany,"Whiffs of sun-burnt slate lend contrast to bright nectarine and citrus peel flavors in this clingy, textured Kabinett. Bristling acidity balances delicate swathes of honey- and nectar-like sweetness that linger on the finish. It's delightfully refreshing, with complexity to linger over.",91,28.0,Mosel,Dr. Loosen 2015 Wehlener Sonnenuhr Kabinett Riesling (Mosel),Riesling,Dr. Loosen,2015,Riesling Trocken Blauschiefer ,Mosel,3.7,9.7
Germany,"With layers upon layers of spicy saffron, peach, honey and caramel to be enjoyed on the nose alone, this heady botrytized Riesling is pure hedonism. The sweet-tart palate is deft and spry yet deeply lusciously penetrating in flavor. Spine-tingling acidity darts through a honeyed, waxy slick that extends the finish endlessly. It's already a heart-stopping wine but will continue to improve for decades to come.",98,775.0,Rheingau,Robert Weil 2015 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil,2015,Kiedrich GrÃ¤fenberg Riesling Trocken GG ,Rheingau,4.0,41.87
France,"Totally herbaceous, this fruity wine has grassy aromas and gooseberry flavors. It's crisp, fresh and ready to drink.",85,11.0,Bordeaux,Baron Philippe de Rothschild 2012 Mouton Cadet  (Bordeaux Blanc),Sauvignon Blanc,Baron Philippe de Rothschild,2012,Les CÃ©pages Sauvignon Blanc ,Pays d'Oc,3.2,8.69
Argentina,"Open-grain oak aromas are out front, followed by sweeter scents of marzipan, prune and chocolate. A full, tannic palate is deep and dense, while toasty blackened flavors of cassis and blackberry finish with notes of mocha, chocolate and pepper. This is a bit rough and tannic, so cellaring will help it calm down. Drink through 2023.",94,50.0,Mendoza Province,Pascual Toso 2014 Alta Barrancas Vineyards Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Pascual Toso,2014,Selected Vines Cabernet Sauvignon (Barrancas Vineyards) ,Mendoza,3.7,15.16
Argentina,"Open-grain oak aromas are out front, followed by sweeter scents of marzipan, prune and chocolate. A full, tannic palate is deep and dense, while toasty blackened flavors of cassis and blackberry finish with notes of mocha, chocolate and pepper. This is a bit rough and tannic, so cellaring will help it calm down. Drink through 2023.",94,50.0,Mendoza Province,Pascual Toso 2014 Alta Barrancas Vineyards Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Pascual Toso,2014,Finca Pedregal Single Vineyard Malbec - Cabernet Sauvignon ,Mendoza,4.3,50.11
France,"This wine is medium sweet in style with a rich, complex character. It has notes of spice and honey that accent ripe peach and apricot flavors. The richness of the wine comes from it's dense texture. It is ready to drink now, but will also age well.",93,30.0,Alsace,Domaines Schlumberger 2010 Kessler Grand Cru Pinot Gris (Alsace),Pinot Gris,Domaines Schlumberger,2010,Pinot Gris Alsace Grand Cru 'KitterlÃ©' ,Alsace Grand Cru,3.9,35.58
Chile,"Leafy red-berry aromas come with a note of olive. This wine feels lean and searing, with edgy tannins and high acidity. Spicy flavors of herbal plum and tomato finish with a dusting of baking spices.",85,13.0,Apalta,Apaltagua 2015 Reserva Cabernet Sauvignon (Apalta),Cabernet Sauvignon,Apaltagua,2015,Signature Cabernet Sauvignon ,Maipo Valley,4.0,30.81
Germany,"Intense aromas of tropical mango and melon scent this elegant, slightly cream-textured dry Riesling. Sprays of white grapefruit and lime juice brighten the midpalate, extending through a long finish marked by zesty acidity and chalky, dusty mineral tones. Drink now through 2019.",93,25.0,Rheinhessen,Wittmann 2014 Trocken Riesling (Rheinhessen),Riesling,Wittmann,2014,Kirchspiel Riesling GG ,Rheinhessen,4.2,42.8
Chile,Roasted berry and spent coffee aromas blend with leathery notes that suggest animal. This wine feels solid but rough and grabby. Savory plum and berry flavors finish with a note of baking spices.,87,20.0,Aconcagua Costa,Errazuriz 2015 Max Reserva Cabernet Sauvignon (Aconcagua Costa),Cabernet Sauvignon,Errazuriz,2015,Aconcagua Alto Cabernet Sauvignon ,Aconcagua,3.8,21.45
Chile,Roasted berry and spent coffee aromas blend with leathery notes that suggest animal. This wine feels solid but rough and grabby. Savory plum and berry flavors finish with a note of baking spices.,87,20.0,Aconcagua Costa,Errazuriz 2015 Max Reserva Cabernet Sauvignon (Aconcagua Costa),Cabernet Sauvignon,Errazuriz,2015,Max Reserva Cabernet Sauvignon ,Aconcagua Valley,3.8,13.55
Chile,Roasted berry and spent coffee aromas blend with leathery notes that suggest animal. This wine feels solid but rough and grabby. Savory plum and berry flavors finish with a note of baking spices.,87,20.0,Aconcagua Costa,Errazuriz 2015 Max Reserva Cabernet Sauvignon (Aconcagua Costa),Cabernet Sauvignon,Errazuriz,2015,Estate Cabernet Sauvignon ,Aconcagua Valley,3.4,8.5
Chile,"Oceanic aromas of grass, scallion, baby garlic and lime reflect cool-coast origins. A slick, juicy mouthfeel is minerally, while this offers flavors of nettle, lime, passion fruit and green onion. A long, stony finish leans towards green flavors.",90,22.0,Aconcagua Costa,Errazuriz 2015 Sauvignon Blanc (Aconcagua Costa),Sauvignon Blanc,Errazuriz,2015,Max Reserva Sauvignon Blanc ,Aconcagua Valley,3.7,14.5
New Zealand,"This is light bodied and crisp, its bright cherry fruit accented by leafy, slightly green notes. Clean and vibrant, it's the sort of Pinot that should work well with salmon.",86,18.0,Marlborough,Villa Maria 2015 Private Bin Pinot Noir (Marlborough),Pinot Noir,Villa Maria,2015,Cellar Selection Pinot Noir ,Marlborough,3.7,15.9
Chile,"A deep, dark Syrah with cola, spice, pepper, cedar and olive notes to go with more familiar blackberry and mocha. The palate is deep and pure, with juicy acidity pushing herbal berry and layered spice flavors. Has good flow and feel, and overall it strikes the right chords.",90,21.0,Aconcagua Valley,Errazuriz 2008 Single Vineyard Syrah (Aconcagua Valley),Syrah,Errazuriz,2008,La Cumbre Syrah ,Aconcagua Valley,4.3,57.42
Chile,"Aromas of cherry, cassis, vanilla and mild spice are fruity, clean and inviting. A concentrated, forward palate holds flavors of black fruits, cassis and chocolate. A ripe, solid finish fades away slowly and smoothly. Drink through 2021.",90,,Colchagua Valley,Santa Helena 2013 Gran Reserva Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Santa Helena,2013,Gran Reserva Cabernet Sauvignon (SelecciÃ³n del Directorio) ,Colchagua Valley,3.5,9.49
Chile,"A jumbled mix of aromas includes notes of rubber, berry fruits, plum, grass, fennel and oak. In the mouth, this is full and blocky. Rubbery flavors of plum and berry finish salty, savory and spicy, with unintegrated oak that stands out.",87,30.0,Casablanca Valley,Ritual 2015 Monster Block Pinot Noir (Casablanca Valley),Pinot Noir,Ritual,2015,Pinot Noir ,Casablanca Valley,3.8,15.69
Austria,"Stone flint and smoke join a lovely combination of superripe orange and juicy mandarin. The palate focuses even more on these luscious juicy citrus flavors. It gets direction from gentle but definite lemon freshness. With a little air, an earthier aspect grounds this beautifully and gives a three-dimensional picture of aroma, flavor and texture with immense and intense length.",94,60.0,Wachau,Pichler-Krutzler 2015 Kellerberg Riesling (Wachau),Riesling,Pichler-Krutzler,2015,Loibenberg Riesling ,Wachau,4.3,33.0
Chile,Spicy grassy aromas of catmint are matched by unusual clove scents. A tough rubbery palate is where you'll find spicy blackberry and green-herb flavors. Pulling tannins are the driving force on this wine's choppy clipped finish.,86,13.0,Maipo Valley,Santa Rita 2015 Reserva Syrah (Maipo Valley),Syrah,Santa Rita,2015, Syrah ,Central Valley,3.2,6.33
France,"Pear laced with subtle notes of smoke hints at a taut palate. The dryness and discipline of the poised flavors nonetheless allow the ripe, luscious pear fruit to glow and shine. Mouthfeel and texture are reminiscent of pear peel and bitter almond, and echo long after the last sip.",91,24.0,Alsace,Trimbach 2013 Réserve Pinot Gris (Alsace),Pinot Gris,Trimbach,2013,Pinot Gris Alsace RÃ©serve Personnelle ,Alsace,4.1,31.03
Argentina,"This new Chardonnay from chalky soils smells of lanolin and waxy orange. On the palate, this shows some minerality but mostly it's bulky and citric. Briny stone-fruit flavors finish flat.",86,20.0,Mendoza Province,Trapiche 2016 Perfiles Calcareo Chardonnay (Mendoza),Chardonnay,Trapiche,2016,Perfiles Calcareo Chardonnay ,Mendoza,3.5,15.9
Argentina,"Familiar Cab Franc aromas of dry spice, green herbs, fennel and pepperoni feed into a narrow palate that's high in acidity and drawing. Spiky tomato, plum, herb and pepper flavors finish dry and pulling, with a saucy aftertaste.",87,40.0,Mendoza Province,Andeluna 2013 Pasionado Cabernet Franc (Tupungato),Cabernet Franc,Andeluna,2013,Pasionado Cabernet Franc ,Tupungato,4.2,54.36
Chile,"High-toned energy is the persistent theme of this coastal Syrah. The nose is jumpy and wild, with leather, coffee and tarry notes along with foxy berry fruit. A juicy, crisp palate is high in acid, ringing with peppery currant and plum flavors. Toasty, spicy oak leads a ripped, bold finish. Drink through 2023.",90,25.0,Aconcagua Costa,Errazuriz 2015 Syrah (Aconcagua Costa),Syrah,Errazuriz,2015,La Cumbre Syrah ,Aconcagua Valley,4.3,63.27
Chile,"High-toned energy is the persistent theme of this coastal Syrah. The nose is jumpy and wild, with leather, coffee and tarry notes along with foxy berry fruit. A juicy, crisp palate is high in acid, ringing with peppery currant and plum flavors. Toasty, spicy oak leads a ripped, bold finish. Drink through 2023.",90,25.0,Aconcagua Costa,Errazuriz 2015 Syrah (Aconcagua Costa),Syrah,Errazuriz,2015,Max Reserva Syrah ,Aconcagua Valley,3.6,13.55
New Zealand,"This vintage of Cloudy Bay boasts aromas of struck flint and white grapefruit, then adds hints of pineapple and green herbs on the long, austere finish.",89,31.0,Marlborough,Cloudy Bay 2016 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Cloudy Bay,2016,Te Koko Sauvignon Blanc ,Marlborough,4.2,54.69
New Zealand,"Scents of crushed tomato stalk and green onion make a big impression upfront, but they're balanced by stone fruit and pineapple flavors. This is rich and ripe in the mouth, showing great power and persistence on the finish. Drink now.",91,28.0,Marlborough,Saint Clair 2015 Pioneer Block 20 Dillons Point Cash Block Sauvignon Blanc (Marlborough),Sauvignon Blanc,Saint Clair,2015,Barrique Sauvignon Blanc ,Marlborough,4.0,18.95
New Zealand,"Scents of crushed tomato stalk and green onion make a big impression upfront, but they're balanced by stone fruit and pineapple flavors. This is rich and ripe in the mouth, showing great power and persistence on the finish. Drink now.",91,28.0,Marlborough,Saint Clair 2015 Pioneer Block 20 Dillons Point Cash Block Sauvignon Blanc (Marlborough),Sauvignon Blanc,Saint Clair,2015,Wairau Reserve Sauvignon Blanc ,Marlborough,4.1,29.05
Chile,"Leathery plum and berry aromas are also jammy and floral on this full and round wine. Roasted berry flavors come with a bacon-like note, delivering similar flavors on the finish.",86,12.0,Central Valley,Cono Sur 2015 Bicicleta Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,Cono Sur,2015,Bicicleta Cabernet Sauvignon ,Central Valley,3.3,6.5
Italy,"A dense, full-bodied red, this opens with aromas of blackberry jam, vanilla, oak and a whiff of herbs. The robust palate delivers fleshy black cherry, cracked black pepper, licorice and tobacco alongside velvety tannins. You'll also the notice the heat of evident alcohol, especially on the close, which throws it somewhat off-balance.",90,300.0,Tuscany,Tua Rita 2012 Per Sempre Syrah (Toscana),Syrah,Tua Rita,2012,Per Sempre Syrah Toscana ,Toscana,4.4,118.8
Austria,"The slightest touch of flinty reduction clings to the nose. Underneath, the crisp, slender palate is dominated by appetizing notes of ripe lemon. A tiny bit of spritz makes the slender body seem almost weightless, but all that lovely lemon fruit fills mouth and nose. The finish is featherlight and refreshing.",89,19.0,Südsteiermark,Tement 2016 Steirische Klassik Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Tement,2016,Zieregg Sauvignon Blanc ,SÃ¼dsteiermark,4.0,48.43
Argentina,"This oaky number offers enough meaty fruit to keep itself on an even keel. Gritty berry and sawdust aromas lead to a full-bodied, resiny palate. Woody, drying flavors rest heavily atop a core of medicinal, herbal berry fruit. It's ripe and resiny on the finish, which is consistent with what came beforehand.",87,13.0,Mendoza Province,Pascual Toso 2013 Estate Bottled Malbec (Mendoza),Malbec,Pascual Toso,2013,Alta Malbec (Barrancas Vineyards) ,Mendoza,4.3,34.54
Germany,"This sprightly-sweet Riesling fills the glass with an opulent floral perfume of rose petals and orange blossoms. It's profoundly aromatic, yet remarkably elegant, balanced by layers of crisp honeydew and peach flavors. A zesty strike of acidity freshens the finish.",94,40.0,Rheingau,Robert Weil 2013 Spätlese Tradition Riesling (Rheingau),Riesling,Robert Weil,2013,Kiedrich GrÃ¤fenberg Riesling Trocken GG ,Rheingau,3.8,73.9
South Africa,"Winemaker: Marc Kent. The bouquet of this attractive Syrah offers a pleasant interplay between floral tones of crushed violet and iris and fruity notes of ripe blackberry and blueberry. The medium-weight palate is plush and seductive, with a texture like crushed velvet and brambly, spice-accented flavors of black cherry and forest berry. Hints of bittersweet chocolate shavings and subtle char grace the elegant finish. Cellaring will encourage additional depth and complexity; drink 2020–2025.",92,,Swartland,Boekenhoutskloof 2014 Cape Winemakers Guild Auction Reserve Syrah (Swartland),Syrah,Boekenhoutskloof,2014,Syrah ,Swartland,4.3,55.0
France,This wine is made to be drunk young when it is still in the first flush of its fruitiness. Black plum and blackberry flavors are fleshed out with soft tannins. The aftertaste is fresh with bright acidity. Drink now.,85,11.0,France Other,Lionel Osmin & Cie 2014 La Réserve Malbec (Vin de France),Malbec,Lionel Osmin & Cie,2014,Cahors Malbec ,Cahors,3.2,8.72
Australia,"Menzies is the name of Yalumba's Coonawarra estate, which is almost entirely devoted to Cabernet Sauvignon. Like most of the Yalumba wines, the oak levels have been pared back in recent vintages, allowing this wine's cassis fruit to to shine. Hints of tobacco, bay leaf and sage bring complexity, while the tannins are fine, adding a softly dusty feel to the long finish.",92,26.0,South Australia,Yalumba 2013 The Cigar Menzies Vineyard Cabernet Sauvignon (Coonawarra),Cabernet Sauvignon,Yalumba,2013,The Signature Cabernet Sauvignon - Shiraz ,Barossa,4.1,56.27
Chile,"Moderately ripe white-fruit aromas of peach and melon come with a hint of buttery oak. This feels lean and citric, with more acid than body. A shot of citric flavor gives way to yeasty dryness, while the finish is juicy but bitter around the edges.",88,25.0,Aconcagua Costa,Errazuriz 2015 Chardonnay (Aconcagua Costa),Chardonnay,Errazuriz,2015,Max Reserva Chardonnay ,Aconcagua Valley,3.6,15.95
Argentina,"Mildly stewed berry aromas come with loud oak and a strong hint of green herbs. This Cab Franc feels syrupy and chunky, with baked flavors of berry fruits and oaky chocolate. That theme of oak and chocolate carries over to the finish.",89,30.0,Mendoza Province,Kaiken 2015 Obertura Cabernet Franc (Mendoza),Cabernet Franc,Kaiken,2015,Obertura Cabernet Franc ,Mendoza,4.0,31.5
